date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1916-08-15,Uruguay,Argentina,1.0,2.0,Copa Lipton,False,1916,1890.0,1970.0,-80.0,away_win
1916-08-20,Sweden,United States,2.0,3.0,Friendly,False,1916,1663.0,1705.0,-42.0,away_win
1916-09-03,Norway,United States,1.0,1.0,Friendly,False,1916,1380.0,1705.0,-325.0,draw
1916-10-01,Argentina,Uruguay,7.0,2.0,Friendly,False,1916,1970.0,1890.0,80.0,home_win
1916-10-01,Norway,Sweden,0.0,0.0,Friendly,False,1916,1380.0,1663.0,-283.0,draw
1916-10-01,Uruguay,Argentina,0.0,1.0,Copa Premio Honor Uruguayo,False,1916,1890.0,1970.0,-80.0,away_win
1916-10-29,Uruguay,Argentina,3.0,1.0,Friendly,False,1916,1890.0,1970.0,-80.0,home_win
1917-07-18,Uruguay,Argentina,0.0,2.0,Copa Premio Honor Uruguayo,False,1917,1943.0,1976.0,-33.0,away_win
1917-08-15,Argentina,Uruguay,1.0,0.0,Copa Lipton,False,1917,1976.0,1943.0,33.0,home_win
1917-08-19,Sweden,Norway,3.0,3.0,Friendly,False,1917,1668.0,1378.0,290.0,draw
1917-09-02,Uruguay,Argentina,1.0,0.0,Copa Newton,False,1917,1943.0,1976.0,-33.0,home_win
1917-09-16,Norway,Sweden,0.0,2.0,Friendly,False,1917,1378.0,1668.0,-290.0,away_win
1917-10-03,Argentina,Brazil,4.0,2.0,Copa América,True,1917,1976.0,1831.0,145.0,home_win
1917-10-07,Uruguay,Brazil,4.0,0.0,Copa América,False,1917,1943.0,1831.0,112.0,home_win
1917-10-14,Uruguay,Argentina,1.0,0.0,Copa América,False,1917,1943.0,1976.0,-33.0,home_win
1917-10-16,Uruguay,Brazil,3.0,1.0,Friendly,False,1917,1943.0,1831.0,112.0,home_win
1917-12-23,Switzerland,Austria,0.0,1.0,Friendly,False,1917,1511.0,1816.0,-305.0,away_win
1917-12-26,Switzerland,Austria,3.0,2.0,Friendly,False,1917,1511.0,1816.0,-305.0,home_win
1918-05-09,Austria,Switzerland,5.0,1.0,Friendly,False,1918,1788.0,1507.0,281.0,home_win
1918-05-26,Sweden,Norway,2.0,0.0,Friendly,False,1918,1651.0,1417.0,234.0,home_win
1918-07-18,Uruguay,Argentina,1.0,1.0,Copa Premio Honor Uruguayo,False,1918,1933.0,1986.0,-53.0,draw
1918-07-28,Uruguay,Argentina,3.0,1.0,Copa Premio Honor Uruguayo,False,1918,1933.0,1986.0,-53.0,home_win
1918-08-15,Argentina,Uruguay,0.0,0.0,Copa Premio Honor Argentino,False,1918,1986.0,1933.0,53.0,draw
1918-08-25,Argentina,Uruguay,2.0,1.0,Copa Premio Honor Argentino,False,1918,1986.0,1933.0,53.0,home_win
1918-09-15,Norway,Sweden,2.0,1.0,Friendly,False,1918,1417.0,1651.0,-234.0,home_win
1918-09-20,Uruguay,Argentina,1.0,1.0,Copa Lipton,False,1918,1933.0,1986.0,-53.0,draw
1918-09-29,Argentina,Uruguay,2.0,0.0,Copa Newton,False,1918,1986.0,1933.0,53.0,home_win
1919-03-09,Belgium,France,2.0,2.0,Friendly,False,1919,1770.0,1557.0,213.0,draw
1919-05-11,Paraguay,Argentina,1.0,5.0,Friendly,False,1919,1757.0,1927.0,-170.0,away_win
1919-05-13,Argentina,Uruguay,2.0,3.0,Copa América,True,1919,1927.0,1977.0,-50.0,away_win
1919-05-15,Paraguay,Argentina,0.0,3.0,Friendly,False,1919,1757.0,1927.0,-170.0,away_win
1919-05-18,Brazil,Argentina,3.0,1.0,Copa América,False,1919,1900.0,1927.0,-27.0,home_win
1919-05-21,Paraguay,Argentina,1.0,2.0,Friendly,False,1919,1757.0,1927.0,-170.0,away_win
1919-05-24,Paraguay,Argentina,1.0,2.0,Friendly,False,1919,1757.0,1927.0,-170.0,away_win
1919-05-26,Brazil,Uruguay,2.0,2.0,Copa América,False,1919,1900.0,1977.0,-77.0,draw
1919-05-29,Brazil,Uruguay,1.0,0.0,Copa América,False,1919,1900.0,1977.0,-77.0,home_win
1919-06-01,Brazil,Argentina,3.0,3.0,Friendly,False,1919,1900.0,1927.0,-27.0,draw
1919-06-09,Netherlands,Sweden,3.0,1.0,Friendly,False,1919,1923.0,1663.0,260.0,home_win
1919-06-28,Belgium,United States,7.0,0.0,Inter-Allied Games,True,1919,1770.0,1705.0,65.0,home_win
1919-06-29,Norway,Sweden,4.0,3.0,Friendly,False,1919,1490.0,1663.0,-173.0,home_win
1919-07-18,Uruguay,Argentina,4.0,1.0,Copa Premio Honor Uruguayo,False,1919,1977.0,1927.0,50.0,home_win
1919-08-24,Sweden,Netherlands,4.0,1.0,Friendly,False,1919,1663.0,1923.0,-260.0,home_win
1919-08-24,Uruguay,Argentina,2.0,1.0,Copa Newton,False,1919,1977.0,1927.0,50.0,home_win
1919-08-31,Norway,Netherlands,1.0,1.0,Friendly,False,1919,1490.0,1923.0,-433.0,draw
1919-09-07,Argentina,Uruguay,1.0,2.0,Copa Lipton,False,1919,1927.0,1977.0,-50.0,away_win
1919-09-14,Sweden,Norway,1.0,5.0,Friendly,False,1919,1663.0,1490.0,173.0,away_win
1919-10-19,Argentina,Uruguay,6.0,1.0,Copa Premio Honor Argentino,False,1919,1927.0,1977.0,-50.0,home_win
